input_measure,output_measure,input_measure_mark,output_measure_mark,production_country_mark
Россия/Европа,Международный,1,0,2
Россия,Франция,1,0,2
Сша/Великобритания,Международный,0,0,0
Россия,Обхват Бёдер (См),1,0,2
Россия,Великобритания,1,0,2
Россия,Длина Стопы (См),1,0,2
Размер Джинсов (W),Международный,0,0,0
Россия,Сша/Великобритания,1,0,2
Германия,Международный,0,0,0
Сша/Великобритания,Россия/Европа,0,1,1
Россия,Франция,1,0,2
Россия,Сша,1,0,2
Россия,Сша,1,0,2
Россия,Обхват Бёдер (См),1,0,2
Россия,Франция,1,0,2
Россия,Европа,1,0,2
Сша/Великобритания,Международный,0,0,0
Россия,Длина Стопы (См),1,0,2
Россия,Европа,1,0,2
Россия,Длина Стопы (См),1,0,2
Россия,Сша,1,0,2
Россия,Рост (См),1,0,2
Россия,Европа,1,0,2
Россия,Международный,1,0,2
Размер Джинсов (W),Международный,0,0,0
Россия,Сша,1,0,2
Россия,Великобритания,1,0,2
Великобритания,Россия,0,1,1
Россия,Италия,1,0,2
Россия,Япония,1,0,2
Рост (См),Международный,0,0,0
Сша/Великобритания,Международный,0,0,0
Франция,Международный,0,0,0
Россия,Франция,1,0,2
Европа,Россия,0,1,1
Рост (См),Сша/Великобритания,0,0,0
Россия,Сша,1,0,2
Россия,Япония,1,0,2
Россия,Европа,1,0,2
Россия,Международный,1,0,2
Россия,Германия,1,0,2
Россия,Обхват Бёдер (См),1,0,2
Россия,Обхват Бёдер (См),1,0,2
Размер Джинсов (W),Россия,0,1,1
Длина Стопы (См),Великобритания,0,0,0
Россия,Длина Стопы (См),1,0,2
Россия,Сша/Великобритания,1,0,2
Россия,Международный,1,0,2
Европа,Россия,0,1,1
Россия,Великобритания,1,0,2
Международный,Размер Джинсов (W),0,0,0
Россия,Рост (См),1,0,2
Россия,Обхват Бёдер (См),1,0,2
Россия,Европа,1,0,2
Россия,Великобритания,1,0,2
Россия,Размер Джинсов (W),1,0,2
Россия,Рост (См),1,0,2
Россия,Великобритания,1,0,2
Япония,Россия,0,1,1
Россия,Великобритания,1,0,2
Россия,Рост (См),1,0,2
Россия,Великобритания,1,0,2
Размер Джинсов (W),Международный,0,0,0
Россия,Сша,1,0,2
Россия,Франция,1,0,2
Россия,Сша,1,0,2
Сша/Великобритания,Международный,0,0,0
