input_measure,output_measure,input_measure_mark,output_measure_mark,production_country_mark
Россия,Великобритания,1,0,
Франция,Международный,0,0,
Россия,Размер Джинсов (W),1,0,
Россия,Великобритания,1,0,
Россия,Италия,1,0,
Россия,Сша,1,0,
Россия,Япония,1,0,
Сша/Великобритания,Международный,0,0,
Великобритания,Длина Стопы (См),0,0,
Россия,Франция,1,0,
Россия,Размер Джинсов (W),1,0,
Россия,Япония,1,0,
Россия,Международный,1,0,
Россия,Международный,1,0,
Россия,Международный,1,0,
Россия,Великобритания,1,0,
Россия,Международный,1,0,
Международный,Россия,0,1,
Сша/Великобритания,Россия/Европа,0,1,
Россия,Великобритания,1,0,
Россия,Германия,1,0,
Международный,Россия/Европа,0,1,
Россия,Сша,1,0,
Россия,Длина Стопы (См),1,0,
Сша/Великобритания,Россия/Европа,0,1,
Россия,Европа,1,0,
Россия,Длина Стопы (См),1,0,
Россия,Италия,1,0,
Россия,Международный,1,0,
