input_measure,output_measure,input_measure_mark,output_measure_mark,production_country_mark
Сша/Великобритания,Россия/Европа,0,1,
Италия,Россия,0,1,
Европа,Россия,0,1,
Международный,Великобритания,0,0,
Россия/Европа,Международный,1,0,
Сша/Великобритания,Россия,0,1,
Сша/Великобритания,Россия/Европа,0,1,
Германия,Россия,0,1,
Россия,Сша,1,0,
Япония,Россия,0,1,
Россия,Сша/Великобритания,1,0,
Размер Джинсов (W),Россия,0,1,
Международный,Россия/Европа,0,1,
Размер Джинсов (W),Россия,0,1,
Европа,Россия,0,1,
Международный,Россия,0,1,
Россия,Великобритания,1,0,
Сша,Россия,0,1,
Япония,Международный,0,0,
Япония,Россия,0,1,
Италия,Международный,0,0,
Сша,Размер Джинсов (W),0,0,
Сша/Великобритания,Международный,0,0,
Япония,Международный,0,0,
Италия,Международный,0,0,
Сша,Россия,0,1,
Европа,Россия,0,1,
Великобритания,Россия,0,1,
Сша,Россия,0,1,
Сша/Великобритания,Международный,0,0,
Размер Джинсов (W),Международный,0,0,
Сша/Великобритания,Международный,0,0,
Длина Стопы (См),Россия,0,1,
Европа,Россия,0,1,
Великобритания,Россия,0,1,
Сша,Россия,0,1,
Япония,Россия,0,1,
Размер Джинсов (W),Международный,0,0,
Франция,Международный,0,0,
Сша/Великобритания,Международный,0,0,
Сша/Великобритания,Международный,0,0,
Сша,Россия,0,1,
Сша,Россия,0,1,
Сша/Великобритания,Международный,0,0,
Сша/Великобритания,Международный,0,0,
Италия,Размер Джинсов (W),0,0,
Обхват Бёдер (См),Международный,0,0,
Россия/Европа,Международный,1,0,
Россия,Длина Стопы (См),1,0,
Длина Стопы (См),Европа,0,0,
Европа,Сша/Великобритания,0,0,
Сша/Великобритания,Международный,0,0,
Великобритания,Размер Джинсов (W),0,0,
Германия,Россия,0,1,
Германия,Международный,0,0,
Международный,Россия,0,1,
Россия/Европа,Международный,1,0,
Сша/Великобритания,Международный,0,0,
Международный,Россия/Европа,0,1,
Международный,Россия/Европа,0,1,
Сша/Великобритания,Европа,0,0,
Сша,Международный,0,0,
Длина Стопы (См),Сша,0,0,
Европа,Международный,0,0,
Россия,Международный,1,0,
Рост (См),Международный,0,0,
Сша,Международный,0,0,
Размер Джинсов (W),Международный,0,0,
Сша/Великобритания,Россия/Европа,0,1,
Россия/Европа,Международный,1,0,
Россия,Длина Стопы (См),1,0,
Сша,Япония,0,0,
Рост (См),Сша/Великобритания,0,0,
Россия/Европа,Международный,1,0,
Европа,Длина Стопы (См),0,0,
Длина Стопы (См),Сша,0,0,
Длина Стопы (См),Великобритания,0,0,
Великобритания,Сша,0,0,
Германия,Международный,0,0,
Франция,Международный,0,0,
Италия,Международный,0,0,
Размер Джинсов (W),Международный,0,0,
Великобритания,Длина Стопы (См),0,0,
Рост (См),Международный,0,0,
Размер Джинсов (W),Международный,0,0,
Европа,Россия,0,1,
Международный,Размер Джинсов (W),0,0,
Сша/Великобритания,Россия/Европа,0,1,
Сша/Великобритания,Россия/Европа,0,1,
Сша/Великобритания,Россия/Европа,0,1,
Международный,Россия/Европа,0,1,
Международный,Россия/Европа,0,1,
Международный,Россия/Европа,0,1,
Сша,Международный,0,0,
Сша,Международный,0,0,
Сша,Международный,0,0,
Франция,Россия,0,1,
Рост (См),Международный,0,0,
Рост (См),Международный,0,0,
Россия,Международный,1,0,
Россия,Международный,1,0,
Сша/Великобритания,Международный,0,0,
Сша/Великобритания,Международный,0,0,
Сша/Великобритания,Международный,0,0,
Великобритания,Россия,0,1,
Сша,Россия,0,1,
Россия,Длина Стопы (См),1,0,
Длина Стопы (См),Япония,0,0,
Сша/Великобритания,Международный,0,0,
Сша/Великобритания,Международный,0,0,
Сша/Великобритания,Международный,0,0,
Франция,Германия,0,0,
Франция,Германия,0,0,
Франция,Германия,0,0,
Франция,Германия,0,0,
Франция,Международный,0,0,
Франция,Международный,0,0,
Франция,Международный,0,0,
Франция,Международный,0,0,
Франция,Международный,0,0,
Рост (См),Международный,0,0,
Рост (См),Сша/Великобритания,0,0,
Рост (См),Европа,0,0,
Рост (См),Россия,0,1,
Рост (См),Россия,0,1,
Рост (См),Европа,0,0,
Рост (См),Сша/Великобритания,0,0,
Рост (См),Международный,0,0,
Россия,Европа,1,0,
Россия,Сша/Великобритания,1,0,
Россия,Международный,1,0,
Россия,Рост (См),1,0,
Россия,Рост (См),1,0,
Россия,Международный,1,0,
Россия,Сша/Великобритания,1,0,
Россия,Европа,1,0,
Размер Джинсов (W),Россия,0,1,
Размер Джинсов (W),Италия,0,0,
Размер Джинсов (W),Франция,0,0,
Размер Джинсов (W),Великобритания,0,0,
Размер Джинсов (W),Сша,0,0,
Размер Джинсов (W),Япония,0,0,
Размер Джинсов (W),Международный,0,0,
Размер Джинсов (W),Обхват Бёдер (См),0,0,
Размер Джинсов (W),Обхват Талии (См),0,0,
Россия,Европа,1,0,
Россия,Великобритания,1,0,
Россия,Сша,1,0,
Россия,Япония,1,0,
Россия,Длина Стопы (См),1,0,
Россия,Длина Стопы (См),1,0,
Россия,Япония,1,0,
Россия,Сша,1,0,
Россия,Великобритания,1,0,
Россия,Европа,1,0,
Россия,Россия,1,1,
Россия,Европа,1,0,
Россия,Великобритания,1,0,
Россия,Сша,1,0,
Россия,Япония,1,0,
Россия,Длина Стопы (См),1,0,
Россия,Длина Стопы (См),1,0,
Россия,Япония,1,0,
Россия,Сша,1,0,
Россия,Великобритания,1,0,
Россия,Европа,1,0,
Россия,Европа,1,0,
Россия,Великобритания,1,0,
Россия,Сша,1,0,
Россия,Япония,1,0,
Россия,Длина Стопы (См),1,0,
Россия,Длина Стопы (См),1,0,
Россия,Япония,1,0,
Россия,Сша,1,0,
Россия,Великобритания,1,0,
Россия,Европа,1,0,
Россия,Европа,1,0,
Россия,Великобритания,1,0,
Россия,Сша,1,0,
Россия,Япония,1,0,
Россия,Длина Стопы (См),1,0,
Россия,Длина Стопы (См),1,0,
Россия,Япония,1,0,
Россия,Сша,1,0,
Россия,Великобритания,1,0,
Россия,Европа,1,0,
Россия,Европа,1,0,
Россия,Великобритания,1,0,
Россия,Сша,1,0,
Россия,Япония,1,0,
Россия,Длина Стопы (См),1,0,
Россия,Длина Стопы (См),1,0,
Россия,Япония,1,0,
Россия,Сша,1,0,
Россия,Великобритания,1,0,
Россия,Европа,1,0,
Россия,Европа,1,0,
Россия,Великобритания,1,0,
Россия,Сша,1,0,
Россия,Япония,1,0,
Россия,Длина Стопы (См),1,0,
Россия,Длина Стопы (См),1,0,
Россия,Япония,1,0,
Россия,Сша,1,0,
Россия,Великобритания,1,0,
Россия,Европа,1,0,
Россия,Европа,1,0,
Россия,Великобритания,1,0,
Россия,Сша,1,0,
Россия,Япония,1,0,
Россия,Длина Стопы (См),1,0,
Европа,Россия,0,1,
Россия,Европа,1,0,
Россия,Великобритания,1,0,
Россия,Сша,1,0,
Россия,Япония,1,0,
Россия,Длина Стопы (См),1,0,
Россия,Длина Стопы (См),1,0,
Россия,Япония,1,0,
Россия,Сша,1,0,
Россия,Великобритания,1,0,
Россия,Европа,1,0,
Россия,Европа,1,0,
Россия,Великобритания,1,0,
Россия,Сша,1,0,
Россия,Япония,1,0,
Россия,Длина Стопы (См),1,0,
Россия,Длина Стопы (См),1,0,
Россия,Длина Стопы (См),1,0,
Россия,Япония,1,0,
Россия,Сша,1,0,
Россия,Великобритания,1,0,
Россия,Европа,1,0,
Россия,Европа,1,0,
Россия,Великобритания,1,0,
Россия,Сша,1,0,
Россия,Япония,1,0,
Россия,Длина Стопы (См),1,0,
Россия,Длина Стопы (См),1,0,
Россия,Япония,1,0,
Россия,Сша,1,0,
Россия,Великобритания,1,0,
Россия,Европа,1,0,
Россия,Европа,1,0,
Россия,Великобритания,1,0,
Россия,Сша,1,0,
Россия,Япония,1,0,
Россия,Длина Стопы (См),1,0,
Россия,Длина Стопы (См),1,0,
Россия,Япония,1,0,
Россия,Сша,1,0,
Россия,Великобритания,1,0,
Россия,Европа,1,0,
Россия,Европа,1,0,
Россия,Великобритания,1,0,
Россия,Сша,1,0,
Россия,Япония,1,0,
Россия,Длина Стопы (См),1,0,
Россия,Длина Стопы (См),1,0,
Россия,Япония,1,0,
Россия,Сша,1,0,
Россия,Великобритания,1,0,
Россия,Европа,1,0,
Россия,Европа,1,0,
Россия,Сша/Великобритания,1,0,
Россия,Международный,1,0,
Россия,Рост (См),1,0,
Россия,Рост (См),1,0,
Россия,Международный,1,0,
Россия,Сша/Великобритания,1,0,
Россия,Европа,1,0,
Россия,Европа,1,0,
Россия,Сша/Великобритания,1,0,
Россия,Международный,1,0,
Россия,Рост (См),1,0,
Россия,Рост (См),1,0,
Россия,Международный,1,0,
Россия,Сша/Великобритания,1,0,
Россия,Европа,1,0,
Россия,Европа,1,0,
Россия,Сша/Великобритания,1,0,
Россия,Международный,1,0,
Россия,Рост (См),1,0,
Россия,Рост (См),1,0,
Россия,Международный,1,0,
Россия,Сша/Великобритания,1,0,
Россия,Европа,1,0,
Россия,Европа,1,0,
Россия,Сша/Великобритания,1,0,
Россия,Международный,1,0,
Россия,Рост (См),1,0,
Россия,Рост (См),1,0,
Россия,Международный,1,0,
Россия,Сша/Великобритания,1,0,
Россия,Европа,1,0,
Россия,Европа,1,0,
Россия,Сша/Великобритания,1,0,
Россия,Международный,1,0,
Россия,Рост (См),1,0,
Россия,Рост (См),1,0,
Россия,Международный,1,0,
Россия,Сша/Великобритания,1,0,
Россия,Европа,1,0,
Россия,Европа,1,0,
Россия,Сша/Великобритания,1,0,
Россия,Международный,1,0,
Россия,Рост (См),1,0,
Россия,Рост (См),1,0,
Россия,Международный,1,0,
Россия,Сша/Великобритания,1,0,
Россия,Европа,1,0,
Россия,Европа,1,0,
Россия,Сша/Великобритания,1,0,
Россия,Международный,1,0,
